id,koder,avis,medieaktoer,valg,laengde,aktoer,institut,medie,stikproeve,ordlyd,usikkerhed,indsamling,metode
87,"Erik Gahner Larsen",1,"Politiken","2005",193,1,1,1,1,1,0,1,1
87,"Erik Gahner Larsen",1,"Berlingske","2005",420,4,1,1,0,0,0,0,0
88,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",229,2,0,1,0,0,0,0,0
88,"Simon Grundt Straubinger",1,"Berlingske","2011",239,1,1,1,0,0,0,0,0
88,"Simon Grundt Straubinger",1,"Jyllands-Posten","2005",133,1,1,1,0,0,0,0,0
89,"Simon Grundt Straubinger",1,"Berlingske","2007",430,4,1,1,1,1,0,1,1
89,"Simon Grundt Straubinger",0,"Berlingske","2011",242,1,1,1,1,0,1,1,0
89,"Erik Gahner Larsen",0,"Berlingske","2007",188,1,1,1,1,0,0,1,0
90,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",595,2,1,1,1,1,0,1,1
90,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",480,3,1,1,0,0,0,0,0
90,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",119,1,1,1,0,0,0,0,0
91,"Erik Gahner Larsen",0,"Berlingske","2007",152,1,1,1,1,0,0,1,0
91,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",138,1,1,0,1,0,0,0,1
92,"Erik Gahner Larsen",1,"Berlingske","2005",487,2,1,1,1,1,0,1,1
92,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",170,1,1,1,1,1,1,1,0
92,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",167,1,1,1,0,0,0,1,0
93,"Erik Gahner Larsen",1,"Politiken","2005",195,1,1,1,1,1,0,1,1
93,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",298,1,1,0,1,0,0,0,0
93,"Simon Grundt Straubinger",0,"Berlingske","2011",365,2,1,1,0,0,0,0,0
